Liver,disease
101.71776580810547,71.71263122558594
117.77589416503906,88.9469985961914
99.94232177734375,68.79942321777344
55.00511932373047,36.14201736450195
94.61815643310547,62.03413391113281
66.03153991699219,57.31755828857422
83.82740783691406,68.9099349975586
91.6115493774414,71.56170654296875
129.770263671875,92.74580383300781
97.18779754638672,78.83919525146484
113.09396362304688,78.89434051513672
117.20194244384766,69.10595703125
93.94621276855469,75.70783233642578
90.41854095458984,64.30636596679688
89.94145965576172,72.15135192871094
118.63900756835938,41.86296463012695
83.55904388427734,53.996337890625
108.5788345336914,57.122154235839844
108.73900604248047,82.63835906982422
104.3891830444336,95.93831634521484
115.48965454101562,96.37418365478516
100.82758331298828,60.59324645996094
94.33295440673828,81.31743621826172
84.19898986816406,55.066627502441406
121.07765197753906,121.09141540527344
100.9218521118164,43.306549072265625
99.86219024658203,57.831695556640625
125.12065887451172,73.29483795166016
97.9018325805664,12.275090217590332
86.07228088378906,69.15335083007812
95.0016860961914,61.8126220703125
113.99051666259766,45.648563385009766
138.51219177246094,54.90910339355469
90.78291320800781,51.86610412597656
117.2501449584961,67.39744567871094
83.59539031982422,42.930233001708984
97.3145751953125,70.58277893066406
76.69379425048828,39.64923095703125
97.45436096191406,45.09727096557617
89.8786392211914,79.9810562133789
106.64583587646484,71.88113403320312
91.51445770263672,54.99831771850586
82.35897827148438,45.19942092895508
134.22634887695312,48.30592346191406
122.826904296875,81.88699340820312
116.73191833496094,80.04930114746094
82.89962005615234,22.89094352722168
101.13385009765625,75.85993194580078
93.86016845703125,50.55942153930664
96.95575714111328,51.30280303955078
122.19239807128906,98.04844665527344
92.07496643066406,47.27291488647461
126.4014663696289,70.61688232421875
83.19450378417969,58.786033630371094
112.63800048828125,78.67241668701172
92.80426025390625,80.62474060058594
114.96451568603516,83.22106170654297
109.35980987548828,81.399169921875
117.53829193115234,80.68888092041016
106.4748306274414,91.09903717041016
79.21615600585938,62.220130920410156
113.71503448486328,76.1812973022461
164.04554748535156,133.676513671875
92.95508575439453,44.19305419921875
113.21514129638672,55.346595764160156
62.925113677978516,44.3124885559082
